"school_name","county","total","n_ed","n_ell","n_swd","race","count"
"CLEVELAND HILL HIGH SCHOOL","ERIE",395,229,7,62,"amind",2
"CLEVELAND HILL MIDDLE SCHOOL","ERIE",276,177,13,44,"amind",0
"CLINTON ELEMENTARY SCHOOL","ERIE",572,207,0,74,"amind",4
"CLINTON ELEMENTARY SCHOOL","ERIE",588,207,22,71,"amind",0
"CLOVERBANK ELEMENTARY SCHOOL","ERIE",559,160,0,82,"amind",0
"COBBLE HILL SCHOOL OF AMERICAN STUDIES","KINGS",584,530,64,117,"amind",5
"COBBLES ELEMENTARY SCHOOL","MONROE",560,121,16,31,"amind",0
"COLDEN ELEMENTARY SCHOOL","ERIE",166,62,0,20,"amind",0
"COLEBROOK SCHOOL","MONROE",163,55,0,14,"amind",0
"COLLABORATIVE ARTS MIDDLE SCHOOL","QUEENS",327,265,17,73,"amind",5
"COLLEGE ACADEMY (THE)","NEW YORK",424,408,218,80,"amind",1
"COLLEGE POINT COLLABORATIVE","QUEENS",154,119,20,28,"amind",1
"COLLEGIATE ACADEMY-MATH-PERSONAL AWA","KINGS",109,82,1,25,"amind",1
"COLLEGIATE INSTITUTE FOR MATH AND SCIENCE","BRONX",609,447,20,119,"amind",7
"COLUMBIA SECONDARY SCHOOL","NEW YORK",716,359,4,120,"amind",6
"COMMUNITY ACTION SCHOOL-MS 258","NEW YORK",240,200,10,61,"amind",2
"COMMUNITY HEALTH ACADEMY OF THE HEIGHTS","NEW YORK",699,631,121,142,"amind",1
"COMMUNITY PARTNERSHIP CHARTER SCHOOL","KINGS",406,360,10,76,"amind",8
"COMMUNITY ROOTS CHARTER SCHOOL","KINGS",473,147,7,115,"amind",0
"COMMUNITY SCHOOL #53 AT #4","ERIE",431,411,48,121,"amind",0
"COMMUNITY SCHOOL FOR SOCIAL JUSTICE","BRONX",313,286,62,82,"amind",3
"COMMUNITY VOICES MIDDLE SCHOOL","QUEENS",342,254,28,96,"amind",7
"COMO PARK ELEMENTARY SCHOOL","ERIE",389,123,3,53,"amind",2
"COMPASS CHARTER SCHOOL","KINGS",300,88,9,82,"amind",2
"COMPREHENSIVE MODEL SCHOOL PROJECT MS 327","BRONX",731,652,81,202,"amind",1
"CONCOURSE VILLAGE ELEMENTARY SCHOOL","BRONX",318,277,31,72,"amind",1
"CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL","KINGS",1007,840,52,247,"amind",6
"CONSELYEA PREPARATORY SCHOOL","KINGS",488,249,21,100,"amind",1
"CORNERSTONE ACADEMY FOR SOCIAL ACTION","BRONX",345,314,14,88,"amind",3
"CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL","BRONX",262,201,5,65,"amind",2
"CORONA ARTS AND SCIENCES ACADEMY","QUEENS",756,731,172,154,"amind",1
"COUNCIL ROCK PRIMARY SCHOOL","MONROE",685,147,70,71,"amind",0
"COUNTRY PARKWAY ELEMENTARY SCHOOL","ERIE",542,83,89,43,"amind",1
"COURT STREET ELEMENTARY SCHOOL","ERIE",355,67,3,77,"amind",1
"CRAIG HILL ELEMENTARY SCHOOL","MONROE",304,176,20,32,"amind",0
"CRESTON ACADEMY","BRONX",457,435,136,89,"amind",4
"CROTONA INTERNATIONAL HIGH SCHOOL","BRONX",328,283,303,18,"amind",2
"CULTURAL ACADEMY FOR THE ARTS AND SCIENCES","KINGS",283,217,31,64,"amind",5
"CULTURAL ARTS ACADEMY CHARTER SCHOOL AT SPRING CREEK","KINGS",256,183,2,27,"amind",3
"CYNTHIA JENKINS SCHOOL","QUEENS",392,321,14,94,"amind",3
"CYPRESS HILLS ASCEND CHARTER","KINGS",124,110,22,17,"amind",2
"CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL","KINGS",299,271,64,60,"amind",4
"D'YOUVILLE-PORTER CAMPUS","ERIE",620,579,289,130,"amind",0
"DAKE JUNIOR HIGH SCHOOL","MONROE",544,208,13,68,"amind",1
"DAVID B CRANE ELEMENTARY SCHOOL","MONROE",355,186,60,60,"amind",0
"DEMOCRACY PREP ENDURANCE CHARTER SCHOOL","NEW YORK",654,509,36,132,"amind",9
"DEMOCRACY PREP HARLEM CHARTER SCHOOL","NEW YORK",1032,904,68,208,"amind",10
"DEMOCRACY PREPARATORY CHARTER SCHOOL","NEW YORK",705,567,30,143,"amind",11
"DEPEW HIGH SCHOOL","ERIE",556,231,5,79,"amind",3
"DEPEW MIDDLE SCHOOL","ERIE",392,197,2,67,"amind",0
"DEWITT CLINTON HIGH SCHOOL","BRONX",1110,921,164,217,"amind",14
"DEWITT ROAD ELEMENTARY SCHOOL","MONROE",527,119,1,43,"amind",0
"DISCOVERY CHARTER SCHOOL","MONROE",276,264,14,33,"amind",0
"DISCOVERY HIGH SCHOOL","BRONX",491,428,124,124,"amind",4
"DISCOVERY SCHOOL","ERIE",563,263,3,127,"amind",2
"DODGE ELEMENTARY SCHOOL","ERIE",541,103,44,99,"amind",0
"DOES PUENTES ELEMENTARY SCHOOL","NEW YORK",412,270,119,106,"amind",0
"DR ANTONIA PANTOJA COMMUNITY SCHOOL OF ACADEMIC EXCELLENCE AT #18","ERIE",463,436,168,112,"amind",0
"DR GEORGE BLACKMAN ECC","ERIE",401,347,21,137,"amind",1
"DR JACQUELINE PEEK-DAVIS SCHOOL","KINGS",255,242,18,70,"amind",3
"DR LYDIA T WRIGHT SCH OF EXCELLENCE","ERIE",596,538,22,157,"amind",0
"DR RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL","BRONX",797,746,93,166,"amind",3
"DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS","KINGS",318,286,12,95,"amind",5
"DR WALTER COOPER ACADEMY","MONROE",338,300,17,86,"amind",0
"DREAM CHARTER SCHOOL","NEW YORK",681,593,39,216,"amind",5
"DREAMYARD PREPARATORY SCHOOL","BRONX",275,246,66,66,"amind",1
"DUDLEY SCHOOL","MONROE",627,139,0,54,"amind",0
"DURAND-EASTMAN INTERMEDIATE SCHOOL","MONROE",367,242,20,38,"amind",0
"EAGLE ACADEMY FOR YOUNG MEN","BRONX",531,423,23,151,"amind",8
"EAGLE ACADEMY FOR YOUNG MEN II","KINGS",652,524,3,180,"amind",6
"EAGLE ACADEMY FOR YOUNG MEN III","QUEENS",491,346,1,131,"amind",11
"EAGLE ACADEMY FOR YOUNG MEN OF HARLEM","NEW YORK",374,285,16,114,"amind",10
"EARTH SCHOOL","NEW YORK",315,176,21,102,"amind",0
"EAST AURORA HIGH SCHOOL","ERIE",644,101,0,61,"amind",0
"EAST AURORA MIDDLE SCHOOL","ERIE",511,67,2,77,"amind",0
"EAST BRONX ACADEMY FOR THE FUTURE","BRONX",671,636,110,205,"amind",10
"EAST BROOKLYN COMMUNITY HIGH SCHOOL","KINGS",178,145,11,80,"amind",2
"EAST COMMUNITY HIGH SCHOOL","ERIE",246,220,31,38,"amind",6
"EAST ELMHURST COMMUNITY SCHOOL","QUEENS",457,417,166,84,"amind",2
"EAST FLATBUSH COMMUNITY RESEARCH SCHOOL","KINGS",268,231,31,74,"amind",4
"EAST FORDHAM ACADEMY FOR THE ARTS","BRONX",297,273,85,89,"amind",6
"EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL","NEW YORK",586,586,46,166,"amind",7
"EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II","NEW YORK",417,381,53,106,"amind",2
"EAST HIGH SCHOOL","MONROE",669,572,114,96,"amind",2
"EAST IRONDEQUOIT MIDDLE SCHOOL","MONROE",671,432,35,79,"amind",0
"EAST LOWER SCHOOL","MONROE",366,314,40,54,"amind",2
"EAST MIDDLE SCHOOL","ERIE",1119,1065,319,184,"amind",2
"EAST MIDDLE SCHOOL","ERIE",557,469,57,110,"amind",1
"EAST MIDDLE SCHOOL","ERIE",817,341,7,136,"amind",1
"EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE","KINGS",477,448,72,106,"amind",8
"EAST NEW YORK FAMILY ACADEMY","KINGS",499,412,17,113,"amind",6
"EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE","KINGS",266,245,31,73,"amind",1
"EAST ROCHESTER ELEMENTARY SCHOOL","MONROE",426,227,3,92,"amind",2
"EAST ROCHESTER JUNIOR-SENIOR HIGH SCHOOL","MONROE",500,277,10,69,"amind",5
"EAST SIDE COMMUNITY SCHOOL","NEW YORK",678,452,8,190,"amind",4
"EAST SIDE ELEMENTRAY SCHOOL-PS 267","NEW YORK",413,54,17,64,"amind",0
"EAST SIDE MIDDLE SCHOOL","NEW YORK",450,73,0,75,"amind",2
"EAST VILLAGE COMMUNITY SCHOOL (THE)","NEW YORK",297,87,5,50,"amind",1
"EAST-WEST SCHOOL OF INTERNATIONAL STUDIES","QUEENS",651,538,45,98,"amind",4
"EASTRIDGE SENIOR HIGH SCHOOL","MONROE",948,552,31,107,"amind",2
"EBBETS FIELD MIDDLE SCHOOL","KINGS",135,126,27,43,"amind",0
"EBC HIGH SCHOOL FOR PUBLIC SERVICE-BUSHWICK","KINGS",479,414,97,110,"amind",0
"EDEN ELEMENTARY SCHOOL","ERIE",289,83,0,59,"amind",4
"EDEN JUNIOR-SENIOR HIGH SCHOOL","ERIE",749,186,1,129,"amind",4
"EDMUND W GORDON BROOKLYN LABORATORY","KINGS",50,49,1,7,"amind",0
"EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL","NEW YORK",335,292,35,125,"amind",1
"EDWARD R MURROW HIGH SCHOOL","KINGS",3713,2492,327,707,"amind",15
"EGGERT ROAD ELEMENTARY SCHOOL","ERIE",501,81,22,77,"amind",0
"EL PUENTE ACADEMY FOR PEACE AND JUSTICE","KINGS",224,193,41,58,"amind",2
"ELEANOR ROOSEVELT HIGH SCHOOL","NEW YORK",528,105,0,86,"amind",10
"ELEMENTARY SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY","BRONX",281,271,84,54,"amind",2
"ELIJAH STROUD MIDDLE SCHOOL","KINGS",171,151,23,63,"amind",4
"ELLA BAKER SCHOOL","NEW YORK",286,91,5,68,"amind",10
"ELLICOTT ROAD ELEMENTARY SCHOOL","ERIE",602,48,0,101,"amind",0
"ELM COMMUNITY CHARTER SCHOOL","QUEENS",103,78,35,21,"amind",3
"ELM TREE ELEMENTARY SCHOOL","QUEENS",482,447,202,119,"amind",2
"ELMA PRIMARY SCHOOL","ERIE",289,42,0,46,"amind",0
"ELMWOOD VILLAGE CHARTER - HERTEL","ERIE",201,131,10,43,"amind",1
"ELMWOOD VILLAGE CHARTER SCHOOL","ERIE",449,240,7,66,"amind",3
"EMBLAZE ACADEMY CHARTER SCHOOL","BRONX",90,76,14,27,"amind",0
"EMERSON SCHOOL (THE)","QUEENS",353,295,37,86,"amind",26
"EMERSON SCHOOL OF HOSPITALITY","ERIE",479,413,31,120,"amind",0
"EMMA E SHERMAN ELEMENTARY SCHOOL","MONROE",591,327,45,74,"amind",1
"EMMA LAZARUS HIGH SCHOOL","NEW YORK",308,290,251,0,"amind",7
"EMOLIOR ACADEMY","BRONX",327,298,69,79,"amind",10
"ENERGY TECH HIGH SCHOOL","QUEENS",534,394,14,100,"amind",4
"ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT","BRONX",293,260,268,2,"amind",8
"ENGLISH VILLAGE ELEMENTARY SCHOOL","MONROE",416,317,27,55,"amind",0
"ENTERPRISE CHARTER SCHOOL","ERIE",403,403,20,44,"amind",0
"EPIC HIGH SCHOOL NORTH","QUEENS",402,300,39,61,"amind",13
"EPIC HIGH SCHOOL-SOUTH","QUEENS",389,260,37,77,"amind",26
"EQUALITY CHARTER SCHOOL","BRONX",621,500,39,158,"amind",1
"EQUITY PROJECT CHARTER SCHOOL (THE)","NEW YORK",844,765,243,200,"amind",0
"ESMT-IS 190","BRONX",274,257,35,65,"amind",2
"ESPERANZA PREPATORY ACADEMY","NEW YORK",571,507,180,156,"amind",2
"ESSEX STREET ACADEMY","NEW YORK",337,230,11,91,"amind",3
"ETHEL K FYLE ELEMENTARY SCHOOL","MONROE",411,184,65,21,"amind",0
"EUGENIO MARIA DE HOSTOS CHARTER SCHOOL","MONROE",811,662,155,71,"amind",1
"EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION","KINGS",362,342,58,85,"amind",0
"EXCELLENCE BOYS CHARTER SCHOOL OF BEDFORD STUYVESANT","KINGS",767,568,20,171,"amind",12
"EXCELLENCE GIRLS CHARTER SCHOOL","KINGS",1444,1054,34,199,"amind",43
"EXCELSIOR PREPARATORTY HIGH SCHOOL","QUEENS",422,354,32,66,"amind",5
"EXIMIUS COLLEGE PREPARATORY ACADEMY","BRONX",423,347,38,106,"amind",3
"EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS","KINGS",375,290,55,78,"amind",6
"EXPLORATION ELE CS - SCIENCE-TECHNOL","MONROE",207,182,8,11,"amind",1
"EXPLORATIONS ACADEMY","BRONX",332,292,73,93,"amind",4
"EXPLORE CHARTER SCHOOL","KINGS",509,426,35,72,"amind",9
"EXPLORE EMPOWER CHARTER SCHOOL","KINGS",509,422,19,127,"amind",3
"EXPLORE EXCEED CHARTER SCHOOL","KINGS",499,390,40,133,"amind",2
"EXPLORE EXCEL CHARTER SCHOOL","KINGS",529,418,36,110,"amind",3
"FACING HISTORY SCHOOL (THE)","NEW YORK",356,286,39,91,"amind",2
"FAIRBANKS ROAD ELEMENTARY SCHOOL","MONROE",482,112,12,43,"amind",0
"FAIRMONT NEIGHBORHOOD SCHOOL","BRONX",276,263,42,96,"amind",0
"FAIRPORT SENIOR HIGH SCHOOL","MONROE",1409,294,25,178,"amind",1
"FAMILY LIFE ACADEMY CHARTER SCHOOL I","BRONX",267,244,57,21,"amind",1
"FAMILY LIFE ACADEMY CHARTER SCHOOL II","BRONX",576,523,53,78,"amind",2
"FAMILY LIFE ACADEMY CHARTER SCHOOL III","BRONX",256,229,36,27,"amind",1
"FAMILY SCHOOL (THE)","BRONX",516,480,154,157,"amind",2
"FANNIE LOU HAMER FREEDOM HIGH SCHOOL","BRONX",473,399,60,150,"amind",6
"FANNIE LOU HAMER MIDDLE SCHOOL","BRONX",281,238,46,71,"amind",0
"FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY","KINGS",278,232,11,77,"amind",5
"FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC, ART AND PERFORMING ARTS","NEW YORK",2766,811,5,104,"amind",7
"FLETCHER ELEMENTARY SCHOOL","ERIE",270,169,6,43,"amind",2
"FLORENCE BRASSER SCHOOL","MONROE",384,169,33,32,"amind",2
"FLOYD S WINSLOW ELEMENTARY SCHOOL","MONROE",440,215,45,19,"amind",0
"FLUSHING HIGH SCHOOL","QUEENS",1624,1290,330,216,"amind",20
"FLUSHING INTERNATIONAL HIGH SCHOOL","QUEENS",402,372,341,12,"amind",0
"FOOD AND FINANCE HIGH SCHOOL","NEW YORK",389,322,13,85,"amind",2
"FORDHAM HIGH SCHOOL FOR THE ARTS","BRONX",321,290,12,70,"amind",2
"FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY","BRONX",358,303,72,87,"amind",1
"FOREST ELEMENTARY SCHOOL","ERIE",518,151,31,69,"amind",1
"FOREST HILLS HIGH SCHOOL","QUEENS",3793,2982,312,627,"amind",32
"FORSYTHE SATELLITE ACADEMY","NEW YORK",173,147,11,57,"amind",2
"FORT GREEN PREPARATORY ACADEMY","KINGS",211,197,13,67,"amind",4
"FORT HAMILTON HIGH SCHOOL","KINGS",4553,3309,666,720,"amind",11
"FORTE PREPARATORY ACADEMY CHARTER","QUEENS",178,160,29,38,"amind",0
"FORWARD SCHOOL (THE)","BRONX",557,494,76,150,"amind",9
"FRANCIS LEWIS HIGH SCHOOL","QUEENS",4473,3135,460,671,"amind",15
"FRANK A SEDITA SCHOOL #30","ERIE",765,739,378,145,"amind",1
"FRANK MCCOURT HIGH SCHOOL","NEW YORK",414,225,12,94,"amind",3
"FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL","QUEENS",858,335,7,165,"amind",7
"FRANKLIN DELANO ROOSEVELT HIGH SCHOOL","KINGS",3208,2576,1036,475,"amind",17
"FRED W HILL SCHOOL","MONROE",467,221,13,87,"amind",2
"FREDERICK DOUGLASS ACADEMY","NEW YORK",1280,1008,71,241,"amind",12
"FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL","NEW YORK",360,303,38,98,"amind",4
"FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL","BRONX",410,363,83,105,"amind",2
"FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL","BRONX",214,191,36,53,"amind",2
"FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL","QUEENS",333,260,89,71,"amind",8
"FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL","KINGS",159,144,7,55,"amind",2
"FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL","KINGS",336,302,8,74,"amind",0
"FREDERICK OLMSTED #156","ERIE",848,426,7,133,"amind",7
"FRENCH ROAD ELEMENTARY SCHOOL","MONROE",819,194,46,114,"amind",0
"FRESH CREEK SCHOOL (THE)","KINGS",182,170,7,43,"amind",4
"FRONTIER MIDDLE SCHOOL","ERIE",1126,363,9,219,"amind",2
"FRONTIER SENIOR HIGH SCHOOL","ERIE",1387,434,11,241,"amind",5
"FUTURE LEADERS INSTITUTE CHARTER SCHOOL","NEW YORK",370,326,23,57,"amind",1
"G L PRIESS PRIMARY SCHOOL","ERIE",281,73,0,44,"amind",0
"GATES-CHILI HIGH SCHOOL","MONROE",1307,620,53,178,"amind",4
"GATES-CHILI MIDDLE SCHOOL","MONROE",824,434,31,114,"amind",3
"GENESEE COMMUNITY CHARTER SCHOOL","MONROE",221,79,2,22,"amind",1
"GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES","QUEENS",413,299,21,73,"amind",13
"GEORGE WESTINGHOUSE CAREER & TECHNICAL ED HIGH SCHOOL","KINGS",791,618,18,156,"amind",9
"GINTHER ELEMENTARY SCHOOL","MONROE",469,230,14,67,"amind",1
"GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK","NEW YORK",650,495,9,126,"amind",8
"GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX","BRONX",726,666,39,141,"amind",12
"GLENDALE ELEMENTARY SCHOOL","ERIE",390,201,1,42,"amind",0
"GLOBAL COMMUNITY CHARTER SCHOOL","NEW YORK",422,375,67,93,"amind",2
"GLOBAL CONCEPTS CHARTER SCHOOL","ERIE",952,687,124,92,"amind",1
"GLOBAL LEARNING COLLABORATIVE (THE)","NEW YORK",421,350,52,88,"amind",2
"GOLDIE MAPLE ACADEMY","QUEENS",364,245,5,37,"amind",14
"GORDON PARKS SCHOOL (THE)","QUEENS",726,522,3,123,"amind",6
"GOTHAM PROFESSIONAL ARTS ACADEMY","KINGS",180,148,7,67,"amind",0
"GRABIARZ-CAMPUS SCHOOL #79","ERIE",592,520,96,195,"amind",4
"GRAMERCY ARTS HIGH SCHOOL","NEW YORK",468,379,10,81,"amind",10
"GRAND CONCOURSE ACAD CHARTER SCH","BRONX",579,481,79,64,"amind",8
"GRAND ISLAND SENIOR HIGH SCHOOL","ERIE",974,257,2,107,"amind",7
"GRANT AVENUE ELEMENTARY SCHOOL","BRONX",420,397,101,156,"amind",8
"GREAT OAKS CHARTER SCHOOL","NEW YORK",261,194,8,78,"amind",2
"GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS","KINGS",306,241,75,80,"amind",1
"GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMATICS","NEW YORK",508,505,379,12,"amind",0
"GRIFFITH INSTITUTE HIGH SCHOOL","ERIE",558,171,1,80,"amind",5
"GRIFFITH INSTITUTE MIDDLE SCHOOL","ERIE",399,144,3,44,"amind",4
"GROVER CLEVELAND HIGH SCHOOL","QUEENS",1707,1228,297,344,"amind",13
"GROWING UP GREEN CHARTER SCHOOL","QUEENS",827,435,65,178,"amind",11
"GROWING UP GREEN CHARTER SCHOOL II","QUEENS",359,284,38,79,"amind",7
"HAMBURG HIGH SCHOOL","ERIE",1159,259,0,110,"amind",2
"HAMBURG MIDDLE SCHOOL","ERIE",772,182,1,114,"amind",2
"HAMILTON GRANGE MIDDLE SCHOOL","NEW YORK",294,267,61,67,"amind",1
"HAMILTON HEIGHTS SCHOOL","NEW YORK",148,101,25,31,"amind",1
"HARBOR HEIGHTS","NEW YORK",120,117,109,3,"amind",0
"HARBOR SCIENCE AND ARTS CHARTER SCHOOL","NEW YORK",282,222,5,66,"amind",0
"HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL","NEW YORK",1140,975,35,207,"amind",9
"HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL","NEW YORK",1039,864,30,185,"amind",6
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","NEW YORK",494,355,40,116,"amind",1
"HARLEM LINK CHARTER SCHOOL","NEW YORK",392,349,29,107,"amind",4
"HARLEM PREP CHARTER SCHOOL","NEW YORK",951,823,58,205,"amind",7
"HARLEM RENAISSANCE HIGH SCHOOL","NEW YORK",203,178,30,65,"amind",3
"HARLEM VILLAGE ACADEMY CHARTER SCHOOL EHVACS","NEW YORK",852,679,30,173,"amind",9
"HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL","NEW YORK",659,559,5,147,"amind",6
"HAROLD O BRUMSTED ELEMENTARY SCHOOL","ERIE",307,116,0,52,"amind",0
"HARRIET ROSS TUBMAN ACADEMY","ERIE",454,439,144,108,"amind",3
"HARRIET TUBMAN CHARTER SCHOOL","BRONX",682,601,64,68,"amind",8
"HARRIS HILL ELEMENTARY SCHOOL","MONROE",479,104,2,74,"amind",1
"HARRIS HILL ELEMENTARY SCHOOL","ERIE",479,104,2,74,"amind",1
"HARRIS HILL ELEMENTARY SCHOOL","MONROE",453,73,15,38,"amind",0
"HARRIS HILL ELEMENTARY SCHOOL","ERIE",453,73,15,38,"amind",0
"HARRY S TRUMAN HIGH SCHOOL","BRONX",2078,1525,174,611,"amind",33
"HARVEST COLLEGIATE HIGH SCHOOL","NEW YORK",458,311,12,120,"amind",3
"HARVEY AUSTIN SCHOOL #97","ERIE",518,487,25,107,"amind",0
"HARVEY MILK HIGH SCHOOL","NEW YORK",67,59,3,26,"amind",0
"HAWTREE CREEK MIDDLE SCHOOL","QUEENS",377,340,10,93,"amind",45
"HEALTH OPPORTUNITIES HIGH SCHOOL","BRONX",513,454,69,113,"amind",12
"HEALTH SCIENCES CHARTER SCHOOL","ERIE",449,449,14,36,"amind",4
"HEBREW LANGUAGE ACADEMY CHARTER 2","KINGS",233,183,55,71,"amind",0
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","KINGS",720,498,37,141,"amind",1
"HEIM ELEMENTARY SCHOOL","ERIE",602,99,56,68,"amind",1
"HEIM MIDDLE SCHOOL","ERIE",679,114,20,80,"amind",1
"HEKETI COMMUNITY CHARTER SCHOOL","BRONX",268,258,53,44,"amind",4
"HELENDALE ROAD PRIMARY SCHOOL","MONROE",320,188,22,24,"amind",0
"HELLENIC CLASSICAL CHARTER SCHOOL","KINGS",477,261,12,51,"amind",9
"HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","NEW YORK",198,164,24,61,"amind",5
"HENRY V BURGER MIDDLE SCHOOL","MONROE",591,255,17,64,"amind",0
"HERBERT H LEHMAN HIGH SCHOOL","BRONX",795,637,104,203,"amind",13
"HERBERT HOOVER ELEMENTARY SCHOOL","ERIE",613,290,27,124,"amind",2
"HERBERT HOOVER MIDDLE SCHOOL","ERIE",841,448,25,137,"amind",5
"HERITAGE HEIGHTS ELEMENTARY SCHOOL","ERIE",396,255,108,19,"amind",2
"HERITAGE SCHOOL (THE)","NEW YORK",318,287,23,71,"amind",0
"HERMAN BADILLO COMMUNITY SCHOOL","ERIE",654,626,421,146,"amind",0
"HERO (HEALTH, EDUCATION AND RESEARCH OCCUPATIONS) HIGH SCHOOL","BRONX",531,431,54,114,"amind",3
"HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHITECTURE","QUEENS",1068,662,17,185,"amind",43
"HIGH SCHOOL FOR ARTS AND BUSINESS","QUEENS",776,552,76,136,"amind",6
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY","NEW YORK",336,272,39,85,"amind",2
"HIGH SCHOOL FOR CIVIL RIGHTS","KINGS",219,186,26,57,"amind",2
"HIGH SCHOOL FOR COMMUNITY LEADERSHIP","QUEENS",463,359,69,71,"amind",19
"HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES","NEW YORK",403,358,54,14,"amind",0
"HIGH SCHOOL FOR ENERGY AND TECHNOLOGY","BRONX",416,345,58,114,"amind",2
"HIGH SCHOOL FOR ENVIRONMENTAL STUDIES","NEW YORK",1149,954,99,226,"amind",10
"HIGH SCHOOL FOR EXCELLENCE AND INNOVATION","NEW YORK",174,164,84,36,"amind",1
"HIGH SCHOOL FOR GLOBAL CITIZENSHIP (THE)","KINGS",212,192,31,36,"amind",1
"HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES","NEW YORK",405,397,156,77,"amind",0
"HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES","NEW YORK",1830,1370,77,265,"amind",20
"HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA","KINGS",237,170,22,49,"amind",1
"HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE)","NEW YORK",304,232,36,60,"amind",1
"HIGH SCHOOL FOR LANGUAGE AND INNOVATION","BRONX",369,367,290,16,"amind",4
"HIGH SCHOOL FOR LAW & PUBLIC SERVICE","NEW YORK",482,435,186,125,"amind",1
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","NEW YORK",430,384,26,86,"amind",4
"HIGH SCHOOL FOR MEDIA & COMMUNICATIONS","NEW YORK",387,372,197,67,"amind",1
"HIGH SCHOOL FOR MEDICAL PROFESSIONS","KINGS",465,452,21,74,"amind",3
"HIGH SCHOOL FOR SERVICE AND LEARNING AT ERASMUS","KINGS",290,227,41,61,"amind",2
"HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS","BRONX",416,372,105,97,"amind",1
"HIGH SCHOOL FOR VIOLIN AND DANCE","BRONX",222,205,38,66,"amind",1
"HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT","KINGS",456,366,38,119,"amind",2
"HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY","NEW YORK",490,204,1,28,"amind",7
"HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE","BRONX",412,105,0,13,"amind",3
"HIGH SCHOOL OF APPLIED COMMUNICATIONS","QUEENS",406,307,29,77,"amind",0
"HIGH SCHOOL OF ARTS AND TECHNOLOGY","NEW YORK",498,426,42,132,"amind",5
"HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY","BRONX",538,415,45,141,"amind",8
"HIGH SCHOOL OF CONTEMPORARY ARTS","BRONX",388,314,66,99,"amind",3
"HIGH SCHOOL OF ECONOMICS & FINANCE","NEW YORK",742,575,46,153,"amind",5
"HIGH SCHOOL OF ENTERPRISE, BUSINESS & TECHNOLOGY","KINGS",834,726,103,143,"amind",5
"HIGH SCHOOL OF FASHION INDUSTRIES (THE)","NEW YORK",1596,1298,51,281,"amind",10
"HIGH SCHOOL OF HOSPITALITY MANAGEMENT","NEW YORK",378,341,35,96,"amind",4
"HIGH SCHOOL OF SPORTS MANAGEMENT","KINGS",246,187,31,55,"amind",4
